Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588221_z,Vitis_cinerea,3,-0.472194,-0.23244019,0.50585735,1.102797,0.7832187,7.1082835,-1.7480155,2.5691059,2.3092356,2.260119,2.2076085,0.5587498,2.239646,1.4698521,0.28776628,-0.8979912,2.0824764,4.917942,0.76662904
588197_z,Vitis_cinerea,3,-0.2053601,-0.31805056,1.8117006,0.98773617,1.3869045,2.7928326,-1.1658903,1.3748776,5.0175433,2.0144534,2.6326792,1.9270432,-0.057790086,1.039415,0.11007827,-0.8491107,0.7412828,5.828196,1.2243496
588217_z,Vitis_cinerea,3,0.16241011,-0.35339296,2.9694786,0.041728932,-0.18934537,-0.10890997,-1.8133435,2.8762963,0.2990983,0.86497235,0.5390281,-0.25866458,-0.19328189,-0.26642507,-0.4031507,-0.83579844,2.6144412,1.5510501,-0.16931693
588356_z,Vitis_cinerea,3,-0.6407654,-0.5749549,0.3243706,-0.18118663,-0.5513157,1.7322718,-0.7242553,0.79424155,1.3246876,1.4118104,2.0120487,0.96900564,0.69857305,0.67635536,0.036657587,-0.7578498,0.65607667,0.09120999,-0.121240824
588218_z,Vitis_cinerea,3,-0.13150473,-0.15852359,0.039828237,0.7616846,-0.8306879,0.17843202,-0.33994374,1.1270654,1.5416046,0.957362,1.3656608,1.4532036,0.720085,2.249703,0.7724584,-0.5992708,0.92128235,3.0960417,0.27028152
588134_z,Vitis_cinerea,3,-0.56053704,-0.79411244,1.061376,0.14230731,-0.1655469,2.2936528,-0.115215264,2.501546,0.84981626,1.437703,1.1920234,1.2082038,2.6561131,1.2107414,-0.09461613,-0.8879491,2.2634232,2.949106,0.40897378
588208_z,Vitis_cinerea,3,-0.60726315,-0.6291549,0.36437544,0.74468315,1.268747,1.8125464,2.8877726,0.25613165,2.392667,2.0425174,3.197028,2.8028958,6.4569116,1.9813429,0.22089508,0.2818762,0.10310583,3.0428646,-0.007253434
588398_z,Vitis_cinerea,3,-0.6017928,-0.5338242,1.3772213,-0.23996267,-0.28823495,1.1548342,-1.4235072,0.8533731,2.3823578,0.50925815,0.12819906,0.5270271,1.9268183,1.7981402,-0.3389561,-0.8613551,0.7365224,0.6877242,-0.08760494
588186_z,Vitis_cinerea,3,-0.5462349,-0.324799,0.34030986,0.5331864,0.898646,4.8115554,-1.560541,2.5421047,1.348524,1.1891189,1.1113776,0.47160286,2.4783223,0.28039187,0.14530496,-0.90600926,2.8362107,6.6472015,0.2142573
588154_z,Vitis_cinerea,3,-0.16282777,-0.4601606,1.6442614,1.0018661,0.5227608,2.0189304,-0.1655682,1.8316096,2.4744055,2.8057148,2.565828,0.7330485,1.1090479,1.3468194,0.50236094,-0.6780187,1.7508066,2.1296475,-0.025444046
171_z,Vitis_cinerea,3,-0.50592387,-0.91338456,-0.091333,-0.6259573,-1.1068996,0.066103,-1.4203074,1.5955083,1.7921088,-0.05263248,-0.6414415,-0.46447194,-0.15781853,-0.67691535,-0.7111334,-0.95329094,1.5557048,-0.7038492,0.043875854
588678_z,Vitis_cinerea,3,-0.45425373,-0.31778884,0.64919186,1.6286377,1.9887195,2.9494286,-0.71251786,1.0797615,1.5588676,1.7939426,2.4938517,1.7349815,3.0805748,1.4023857,0.8007583,-0.71524084,0.9961675,4.932882,0.42995885
597232_z,Vitis_cinerea,3,-0.0491465,-0.3801229,0.5504438,1.485712,-1.5484451,1.7340878,-1.1869771,0.5701433,3.4201422,2.9899228,3.7420676,1.8591979,1.423081,1.3132595,1.1565477,-0.7069668,0.21659683,1.9139422,0.12932676
588575_z,Vitis_cinerea,3,-1.1162719,-0.3690357,1.9438914,0.28577527,1.7287201,0.87034076,-1.037338,1.0698717,1.6546476,0.8018419,1.5851035,0.6440165,0.20079324,1.4158854,-0.26795083,-0.8231314,1.1111995,6.596247,-0.25207824
588685_z,Vitis_cinerea,3,-0.7447119,-0.4237175,0.98529166,0.2919654,-1.1207309,1.7715198,-0.3036296,1.1151574,1.3548762,1.2321068,1.6550707,0.93772715,0.66129833,0.35587025,0.030873632,-0.58856696,1.0135338,2.9026496,0.7862016
588466_z,Vitis_cinerea,3,-0.62315905,-0.605262,0.15984815,-0.32060397,0.0321287,-0.051775806,-1.637745,0.30069965,0.16660012,0.41774043,0.7485242,-0.14105107,5.148572,-0.14147171,-0.23058553,-0.69177186,0.30719888,1.210702,1.069243
588460_z,Vitis_cinerea,3,-1.010427,-0.27629575,0.7041989,0.4896398,-0.6289012,1.1354117,-0.93937564,0.6261472,0.49761933,1.6794648,2.0007966,0.7445662,1.055843,0.65698797,0.3649487,-0.34854668,0.5133284,0.81179005,-0.07886001
588328_z,Vitis_cinerea,3,-0.7658396,-0.4875425,1.7383876,-0.091798685,1.4205204,0.9126116,-0.538937,0.9758378,3.4709773,1.5442748,0.8610005,2.5471737,0.731517,1.4671975,-0.42623058,-0.8050089,0.8544176,2.1427827,0.55432606
