Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588221_x,Vitis_cinerea,3,0.3298215,2.97742,-0.501895,0.38209137,1.3734163,1.0769798,0.7229039,0.09952547,-0.4358846,-0.06083486,-0.1070849,-0.17230609,1.0470159,0.45900393,0.061361946,0.053061783,-0.23631875,1.9054388,0.15033238
588154_x,Vitis_cinerea,3,1.4399177,2.7199433,-0.672789,-0.19042516,1.0801497,0.27231577,0.6039129,-0.18729076,-0.10978327,0.09359398,-0.1681254,0.04376955,1.9136189,0.22669798,0.11577308,-0.009293448,-0.2853167,0.9364039,-0.0833134
588208_x,Vitis_cinerea,3,-1.0725298,0.13925758,0.38404742,0.54564834,2.0637925,-0.006067311,0.8482238,1.0367566,1.5992316,0.6608714,0.98569924,2.172537,5.5789285,4.0939016,-0.13913342,1.437178,0.29699084,0.99644136,0.12485438
588186_x,Vitis_cinerea,3,0.33043993,2.3230977,-0.77313566,-0.19445682,1.2737947,-0.4083368,0.6656561,-0.051627614,-0.49021533,-0.19851248,-0.2923872,0.11843455,1.6179266,0.6804647,-0.5513744,-0.023957245,-0.36960238,3.2372375,-0.06386027
588197_x,Vitis_cinerea,3,0.297882,1.7201185,-0.39139432,0.105948426,0.89180875,0.10744029,1.6139276,-0.8388649,-0.19006065,-0.23644398,0.016781714,1.4162383,0.8214922,0.069330566,-0.005109322,0.42322472,-0.93652856,1.2138934,-0.047407553
588218_x,Vitis_cinerea,3,-0.7525971,2.8707607,-0.7101709,0.043114413,1.020783,-0.5863958,0.5796296,-0.22324193,1.5285852,-0.33451056,-0.08446851,1.9760789,2.7368677,3.143141,0.584571,0.9711189,-0.69605196,2.3619125,0.80885947
171_x,Vitis_cinerea,3,-0.26907462,-0.3432657,-1.0165199,-0.20742813,-0.028050981,-0.8732751,-0.1613442,-0.88517076,0.3779834,-0.23024486,-0.15896836,-0.18889515,1.2478716,0.10884765,0.106695324,-0.41677907,-0.88730067,-0.7546066,0.16987413
588575_x,Vitis_cinerea,3,-1.3951275,-0.36857796,-0.5326955,-0.08341189,1.5314529,-0.11486689,1.4591634,-0.46402958,-0.26485375,-0.31259245,-0.2474828,0.38879624,1.7813777,0.45172524,-0.1258522,0.29129866,-0.71604335,5.571339,-0.10120656
597232_x,Vitis_cinerea,3,-0.9983172,0.8269871,-0.7723158,0.37681353,0.92858344,-0.004903148,1.4357027,-0.6263121,0.10128378,-0.5307735,-0.2513452,2.0515072,1.3114617,1.2296308,0.27733228,0.6669384,-0.9019253,0.7577578,3.831116
588678_x,Vitis_cinerea,3,-0.06340605,1.3877988,-0.6901102,0.63536936,1.0324636,0.013168681,0.93549305,-0.748863,-0.42712566,-0.33850926,-0.19929957,1.0699662,2.4125168,1.352077,0.23098208,1.0271583,-0.96480066,2.158162,0.038919106
