INVO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588718,Vitis_riparia,6,-0.11663273,0.12039939,-0.83205503,-0.5675183,-0.09387362,-0.98543465,-1.1833426,0.22900057,-0.3506067,0.11805928,-0.34225276,-0.4119959,-0.657014,0.003692518,-0.64829224,-0.19802573,-0.20746018,-0.037598327,-0.48474327
588586,Vitis_riparia,6,-1.0759311,-0.999785,-1.4186659,-0.26259243,-1.1642516,-0.035448156,-0.67463166,-0.12378464,-0.653163,-0.3772242,-0.6597402,-0.14678244,-0.6601296,-0.042099223,-0.11391649,1.3537977,-0.40476024,-0.15036793,-0.48986533
588710,Vitis_riparia,6,0.45966682,-0.77120876,-1.0093936,0.25793287,-1.7417991,0.24721977,-1.2452586,-0.67515445,0.557704,0.96003574,1.4733065,-0.46337736,-0.49102858,-0.36892334,0.112124905,0.053556647,-0.91064113,-0.61223614,-0.5749118
495622,Vitis_riparia,6,-0.7227937,-0.85677266,-1.7290705,-0.4618127,-0.9539809,0.530791,-0.18247256,-0.3990655,-0.8405972,0.18556134,-0.22785474,-0.27903214,-1.133767,0.13391177,-0.29994613,1.2927889,-0.53399,-0.66869175,-0.24351776
483166,Vitis_riparia,6,0.330851,0.15694092,-0.25601476,-0.013549998,-0.45991507,-0.7412092,0.044176616,-0.10736157,-0.15021785,0.058251966,-0.010881799,-0.16996321,-0.90588534,-0.16563757,-0.418471,0.62416863,-0.5247382,-0.29096588,-0.3053412
588510,Vitis_riparia,6,-0.7279293,-1.0220246,-0.2107386,-0.82899404,-0.336744,1.5262004,1.9590174,0.7862556,0.643653,-0.16557941,-0.45837283,-0.16165632,-1.0108646,-0.5316554,-0.13266568,-1.0865923,0.748745,-0.45865548,0.09697584
588275,Vitis_riparia,6,0.4139134,1.0631232,-0.10526673,-0.23247673,-1.314763,1.0942478,-0.15422319,-0.36559653,-0.8219985,-0.33912274,-0.24677742,-0.26890114,-1.3530786,-0.48529443,-0.23470034,-0.3709761,-0.20580469,0.07359874,-0.8476097
588258,Vitis_riparia,6,1.0060617,-0.21752845,-1.3298683,-0.8835102,-0.89804494,-0.4350389,-0.2302335,-1.0664872,-1.3445089,-0.7953177,-0.9247023,-0.37128904,-1.3352073,0.13881488,-0.048521798,-0.70415896,-0.88929456,-0.30307722,-0.7022333
483176,Vitis_riparia,6,-0.55831444,-0.9284407,-2.0509768,-1.0550494,-3.0990646,-1.6674896,-2.8871827,-0.72879475,-1.4665576,-0.9387325,-1.1345516,-0.5415162,-1.1681443,-0.8931912,-0.28363797,-1.1764485,-0.51750994,-0.5810133,-0.8919048
588167,Vitis_riparia,6,2.2900665,2.0619452,-0.2013577,-0.7030067,-1.2929809,0.7517094,-1.6561185,-0.29354656,-0.30363122,-1.0952939,-1.1406842,0.37299666,-0.9260603,-0.30795085,-0.30998507,-0.75514805,-0.62786084,-0.43481416,-0.79256266
