IVNO,genus_species,spec_as_int,B11_X,B11_Y,B11_Z,Na23_X,Na23_Y,Na23_Z,Mg26_X,Mg26_Y,Mg26_Z,Al27_X,Al27_Y,Al27_Z,P31_X,P31_Y,P31_Z,S34_X,S34_Y,S34_Z,K39_X,K39_Y,K39_Z,Ca44_X,Ca44_Y,Ca44_Z,Fe54_X,Fe54_Y,Fe54_Z,Mn55_Y,Mn55_X,Mn55_Z,Co59_X,Co59_Y,Co59_Z,Ni60_X,Ni60_Y,Ni60_Z,Cu63_X,Cu63_Y,Cu63_Z,Zn66_X,Zn66_Y,Zn66_Z,As75_X,As75_Y,As75_Z,Rb85_X,Rb85_Y,Rb85_Z,Sr88_X,Sr88_Y,Sr88_Z,Mo98_X,Mo98_Y,Mo98_Z,Cd111_X,Cd111_Y,Cd111_Z
588459,X_Vitis_acerifolia,1,-0.9877669,-0.09502938,0.40834975,-0.38863572,-0.61081326,0.28694904,-0.54711694,-0.8309837,0.4474545,0.7275929,-0.9115214,1.7584988,-0.16178142,-1.3977253,-1.5728395,-0.562374,-0.0700164,0.8066494,1.2677476,-0.6251569,-1.8650719,-0.89608914,-0.50212026,0.69355655,-0.6644387,-0.13994013,2.774141,-0.8754181,-0.41022167,0.93422,-0.2803406,-0.12853979,1.3411037,-0.2131009,-0.38234118,-0.17855209,-0.19929823,-0.7411225,-0.9525023,0.3390332,-0.7331896,0.18927903,-0.15127243,-0.7097026,1.0885451,3.8094742,0.8010134,-0.39859673,-1.0102081,-0.5029833,0.52481216,-0.29230914,0.08276572,0.19599144,0.19958913,-0.26905137,0.014384548
588646,X_Vitis_acerifolia,1,1.0470941,-0.5074091,-0.49240234,-0.18191479,-0.6500073,-0.42969662,-0.29808864,-0.044509254,2.1162736,0.49221936,-0.8611011,0.85598207,1.512668,0.38064286,1.1894522,-0.10807478,0.03962948,0.5384846,1.5999453,0.11588148,-0.6853185,-0.833723,-0.077838935,1.5427276,-0.17234236,-0.4686644,1.3418761,-1.0606956,-0.69874436,0.775126,-1.1464804,-0.92614627,0.32480815,-0.46001965,-0.30808172,-0.34547186,0.20763685,-0.33752677,-0.3811401,-0.6176341,-0.97386366,0.24740276,-0.7171923,-0.71970195,0.23786293,1.3411349,-0.25303012,-0.6966415,-0.94666857,-0.04403677,1.2595102,-0.25169632,-0.013816528,0.45097256,-0.3221775,0.6014377,0.022697318
237621,X_Vitis_aestivalis,2,-0.96175146,-0.3394413,-0.15881401,-0.44569063,-0.75879335,-0.8817896,-0.24244052,-0.6161613,0.67733306,0.6351352,-0.7679715,0.06209092,1.1002322,-0.3475086,-1.4909786,-0.54732907,0.1796344,-0.5229682,0.14492933,0.072362244,-1.6066086,-0.7288684,-0.37796244,1.7449102,-0.37327093,-0.20279106,1.1603633,-0.65988696,-0.5445169,0.049325336,-0.68271834,-0.5207834,-0.13710938,-0.32811454,-0.39960578,-0.38939008,0.3328907,0.21688977,-0.36092934,-0.26072937,-0.8511536,-0.414507,-0.07460658,-0.46448997,-0.5555334,0.69824135,-0.30857018,-0.909258,-0.87025225,-0.26291764,1.6637542,-0.06805552,0.3450616,0.31917182,-0.4494126,-0.03698225,-0.009878162
483130,X_Vitis_aestivalis,2,0.4013302,-0.57189006,0.5454062,0.13813041,-0.80796313,-0.39925724,-0.5696434,-0.17131037,0.6510399,-0.19768514,-0.7862231,2.0948546,0.6276151,0.19581127,-1.6776829,-0.25710624,0.29118234,-0.089977846,0.65929455,-0.3846166,-0.48393428,-0.97720903,-0.10583967,0.8652053,-0.87168,-0.8906097,0.63260233,-0.8434209,-0.9384315,0.20625359,-0.7857819,-0.99940366,0.47981355,-0.373917,-0.4248805,-0.24012622,0.60062844,0.35797548,-0.8131005,-0.21536691,-0.715015,0.23265819,-0.6026664,-0.5446791,0.24527651,0.049942303,-0.5627146,-0.80524457,-0.9264296,0.14920022,0.7934446,-0.74102026,-0.8345262,-0.8382303,-0.27559823,0.15804328,0.22206981
483138,X_Vitis_aestivalis,2,0.7936981,-0.28802586,0.13136558,2.2015138,-0.38976356,-0.68731415,-0.63922197,-0.46721807,1.3426487,0.21130389,-0.60832334,1.00877,0.43463778,-0.12345264,-1.6229037,-0.43408546,0.2711026,0.045760732,0.5208149,-0.2885535,-1.9427059,-0.8807196,-0.25913545,0.983007,-0.5014686,-1.16486,-0.019752262,-0.7630082,-0.18660243,0.9963334,-0.71316224,-0.23309663,1.2412626,0.045543637,-0.13839154,0.019264152,0.27756572,0.09844983,-0.8345473,0.13908468,-0.15931627,0.69676787,0.18205373,-0.60272765,0.47808585,0.31281096,-0.2893813,-0.9108486,-0.9113543,-0.19832203,0.89655113,-0.7049569,-0.84403855,-0.8692532,0.4750168,0.7788443,1.0158211
483143,X_Vitis_aestivalis,2,-0.8703656,-0.3340408,-0.60031873,-0.116945095,-0.8198509,-0.8510618,-0.66287017,-0.21928483,0.8148279,-0.04077285,-0.81130636,-0.04033974,0.21321516,-0.47942445,-1.4222113,-0.15418407,-0.44247377,-0.12824428,0.45111257,-0.9432512,-1.4887921,-0.75972354,-0.26224017,0.46282214,-0.34183937,-0.26617196,0.39369965,-0.4325705,-0.9551934,-0.51990956,-0.30751792,-0.9672147,-0.55360335,-0.003530529,-0.28317216,-0.19895121,0.32419133,-0.19284365,-0.6638337,0.15047479,-0.75183046,-0.3261534,0.15958863,-0.21533178,0.8936959,-0.16593406,-0.73432845,-0.9375503,-0.9116196,-0.20681961,0.41898355,-0.7097596,-0.7903264,-0.79479057,0.08472215,0.24241368,0.34147006
588626,X_Vitis_aestivalis,2,-1.063044,-0.73629475,-0.7674433,-0.3605972,-0.52503014,-0.48270088,-1.1201894,-1.0508647,-0.45293036,-0.42243207,-0.72818166,0.019284775,0.35791403,-0.3813983,-1.1340086,-1.4907808,-0.98831517,-1.2200097,0.64464295,0.4175538,-1.3671145,-1.2179644,-0.57581234,0.82824147,-0.61432385,-0.68761855,0.19731617,-0.8187964,-0.20878531,0.5476274,-0.6449514,-0.3870684,-0.011143321,-0.10207471,-0.28725576,-0.27699065,0.56098455,-0.18692051,-0.68061495,-0.20143285,-0.48199484,0.9467869,-0.25062516,0.018225692,0.23071863,0.035775736,-0.4762845,-0.9021857,-1.1535802,-0.4780172,0.9175086,-0.4088622,-0.4373996,-0.47177672,-0.1714817,0.07672029,-0.001506078
588677,X_Vitis_aestivalis,2,-0.30407417,-0.31818667,-0.5048977,2.4303477,-0.08245127,-0.7616915,-0.45105925,-0.028989183,0.6109328,0.33306965,-0.7904601,-0.27668616,0.94360614,0.473567,-0.9275953,-0.03808886,1.1449564,0.45762423,0.95037854,0.33768868,-1.1672722,-0.74248767,-0.05477763,0.69348997,-0.056604322,-0.121019125,-0.2602933,-0.26203337,-0.067326896,0.1649937,0.12533592,0.2728636,0.54586405,0.440377,0.12637502,0.07040233,2.4528184,1.85811,0.33165804,0.72465765,-0.4391655,-0.23433743,0.10709415,0.23163201,1.1332943,1.0812317,0.27937648,-0.71052855,-0.87896425,0.003841594,0.6984172,-0.5187435,-0.6940671,-0.8076925,-0.01759185,-0.12635949,0.056282967
171,X_Vitis_cinerea,3,-0.26907462,-0.5460623,-0.50592387,-0.3432657,-0.64547473,-0.91338456,-1.0165199,-0.77256715,-0.091333,-0.20742813,-0.8737568,-0.6259573,-0.028050981,-0.054945175,-1.1068996,-0.8732751,1.2461345,0.066103,-0.1613442,-0.6542649,-1.4203074,-0.88517076,-0.052191637,1.5955083,0.3779834,0.65881306,1.7921088,-0.23024486,-0.20767258,-0.05263248,-0.15896836,-0.32645825,-0.6414415,-0.18889515,-0.4428406,-0.46447194,1.2478716,0.47920045,-0.15781853,0.10884765,-0.79063547,-0.67691535,0.106695324,-0.55270845,-0.7111334,-0.41677907,-0.75811064,-0.95329094,-0.88730067,0.007007749,1.5557048,-0.7546066,-0.7621186,-0.7038492,0.16987413,0.23938428,0.043875854
588134,X_Vitis_cinerea,3,0.9497217,-0.49443707,-0.56053704,3.12625,-0.5174752,-0.79411244,-0.37817785,-0.07543556,1.061376,-0.32413894,-0.47997442,0.14230731,0.6868288,1.0238651,-0.1655469,-0.3945834,1.2642018,2.2936528,1.0428262,2.2905142,-0.115215264,-0.49661973,0.3378159,2.501546,-0.6644534,0.059181876,0.84981626,-0.49812397,-0.33703443,1.437703,-0.39124748,-0.032264,1.1920234,0.76920897,0.66854453,1.2082038,2.5269294,3.4702184,2.6561131,0.97438264,0.48826167,1.2107414,-0.48449644,0.2852907,-0.09461613,-0.10806276,-0.3922134,-0.8879491,-0.7239618,0.3041825,2.2634232,0.8462373,1.8996956,2.949106,0.32497373,0.17430662,0.40897378
