IVNO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588476,Y_Vitis_sp_unknown_NY,,-1.0125419,-0.7564974,-0.44372463,-0.99203867,2.4797597,1.2348363,-0.03946216,-0.086721934,-0.9202356,-0.043603458,-0.1540948,-0.39495072,1.0362288,-0.6263256,-0.6846056,-0.61317825,0.005578389,0.06504852,0.011226179
588392,Y_Vitis_x_andersonii_v. coignetiae x v. riparia (vulpina),,-0.30405983,-0.27344596,-0.5319395,-0.7706367,1.0822028,-0.6958784,-0.19822554,-0.33748302,-0.18976992,-0.85716116,-0.4626275,-0.45935172,-0.8010849,-0.95241934,-0.5797347,-0.13698234,-0.3431807,-0.31035194,-0.27523172
588391,Y_Vitis_x_champinii_v. mustangensis x v. rupestris,,-0.7405302,-0.7132373,-0.008330828,-0.94679856,-0.39853057,-0.22637849,0.042248465,0.044626124,-0.32899228,-0.80087656,-0.9115374,-0.41497105,-0.18655062,-0.90097463,-0.5517942,-0.22539577,0.02978551,0.42211664,-0.23962614
588371,Y_Vitis_x_champinii_v. mustangensis x v. rupestris,,0.010055744,-0.49893013,-0.3626372,-0.56997615,-0.10715891,0.6650282,0.2314968,0.19964017,-0.13969755,-0.12278655,-0.24461442,-0.26502943,0.98300046,-0.28592765,0.12407061,-0.77209646,0.09513662,-0.7009979,-0.15825494
588149,Y_Vitis_x_doaniana_v. mustangensis x v. acerifolia,,-0.18551531,-0.7047703,-0.73283136,-0.6873823,-0.11546751,0.20582432,-0.7201638,-0.25793085,-0.27886248,-0.7111286,-0.75584537,-0.3659904,-0.7619847,-0.9062821,-0.22777697,1.0284882,1.3345894,0.79926515,-0.4106337
588257,Y_Vitis_x_novae-angliae_v. labrusca x v. riparia,,-1.0327158,-1.000175,-0.778049,-0.84368354,-0.33807668,0.17365126,-0.02179772,-0.450782,-1.233156,-0.79407245,-0.8972272,-0.36115235,-0.04288435,-0.97071016,-0.5344506,-0.7100973,-0.35142276,-0.7820228,-0.34237924
588123,Z_Vitis_sp_candicans_or_hyb_candicans,,-0.2708289,-0.62464166,1.2153622,-0.35407206,3.0012019,0.41122454,-1.0279398,1.4422135,-0.7590804,0.44883284,0.37850413,-0.2499813,-0.25564197,0.23968245,-0.34093344,-0.6610075,1.5340095,0.6330362,-0.28302044
588282,Z_Vitis_sp_riparia_vulpina,,0.12240612,0.07405112,1.0880387,1.5585341,-0.6231729,2.177057,-0.7287596,4.284907,1.5522684,3.2983072,2.7375164,-0.039189517,-0.62813365,3.1458938,0.8070863,-0.41954115,3.557117,-0.09386671,0.25109124
588508,Z_Vitis_sp_unknown_NY,,0.80251956,-0.051620055,0.6287004,0.1400853,-0.27745956,-0.018900856,-1.1485034,2.016349,0.28319925,1.6178439,0.9926449,-0.27584073,-1.0345039,0.36944827,-0.28454748,-0.5948955,1.8210092,-0.35195938,0.08774273
588549,Z_Vitis_sp_unknown_NY,,0.18737489,-0.39739227,0.25533032,2.9361663,-0.94813067,0.6643528,0.16683587,0.44123396,-0.15404902,1.1469307,1.0103691,-0.23918769,0.19612591,0.35676405,0.5823923,-0.5515416,0.07592954,-0.709738,-0.14281479
588501,Z_Vitis_sp_unknown_PA,,-0.5943048,-0.2918244,3.4608214,1.4397793,0.7883513,1.234794,-1.3984265,1.4543825,0.50648576,2.8856158,3.5187752,0.19543329,-0.35984161,1.0796156,1.3926377,-0.85531086,1.1136233,-0.8214811,0.74498194
588628,Z_Vitis_sp_unknown,,-0.5985178,-0.17087,1.0511315,0.13888636,-1.209351,-0.4452348,-1.4133368,0.5910415,1.0447772,0.45372304,0.6566347,-0.22362114,-0.5952422,0.39998704,0.7371488,-0.8115239,0.46558866,0.11270015,-0.14294301
588529,Z_Vitis_sp_unknown_NY,,-0.19507302,-0.6880984,1.1307989,-0.17570823,-1.5669634,-0.51316726,-0.59924084,1.2512902,0.46653363,-0.07525922,0.119119376,0.16556585,-0.36522326,1.3228263,0.28910604,-0.870719,1.8419964,-0.83304095,0.1361552
588476,Z_Vitis_sp_unknown_NY,,-0.7475713,-0.5092489,0.5834942,-0.17883042,4.1714005,2.691994,0.22634472,1.5231371,-0.42520425,0.5472272,0.13179605,-0.329904,0.38537925,-0.27502447,-0.33338034,-0.73444575,1.4359012,0.2097571,-0.11882583
588392,Z_Vitis_x_andersonii_v. coignetiae x v. riparia (vulpina),,-0.5206898,-0.10038977,0.78351027,0.79026735,1.2821168,-0.1912588,-1.5570737,0.7023538,0.9584052,0.4252986,1.2792149,-0.3032317,-0.93625474,0.07720045,0.64413935,-0.7864067,0.53547806,-0.21498242,0.05883778
588391,Z_Vitis_x_champinii_v. mustangensis x v. rupestris,,-0.41789818,-0.71154267,1.4067627,-0.3919918,-1.1305535,-0.7914357,-0.8136733,1.5584064,-0.21642268,0.039247047,0.030600814,-0.31555134,-0.829505,-0.25030968,-0.58334386,-0.83912104,1.392341,0.49410543,-0.13670969
588371,Vitis_x_champinii_v. mustangensis x v. rupestris,,-0.17146707,-0.14808358,1.2311097,0.7396248,-0.8321321,1.6361645,-1.2625148,2.2576144,1.6723154,2.8530717,2.0012355,0.10538816,-0.22510532,0.6831653,1.7303671,-0.9610896,1.694622,-0.7790373,0.71379375
588149,Vitis_x_doaniana_v. mustangensis x v. acerifolia,,-0.2398236,-0.015609188,0.42722747,1.5891337,-0.38526174,-1.6450753,-1.5906929,1.2751795,0.84778804,0.17645723,0.25352746,-0.26867014,-0.65204436,0.04990725,0.65655845,-0.44705227,5.6483026,1.1016743,-0.18216674
588257,Vitis_x_novae-angliae_v. labrusca x v. riparia,,-0.73435885,-0.4032897,-0.05785534,0.084537655,-0.93815684,0.4302367,-1.3018119,0.3462567,0.05724171,0.7014273,0.4582232,-0.25744146,-0.46179682,0.43648633,0.19147824,-0.9166492,0.25245783,-0.8035965,-0.026577497
