Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588200_y,Vitis_cinerea,3,1.0095878,1.189864,-0.10421864,8.271176,0.74290043,1.0165248,0.2846275,-0.23075211,0.13855927,-0.34136218,-0.25719136,0.4365558,1.9741477,-0.12255466,0.39249977,0.91514444,0.8908049,0.6288175,-0.12719816
588186_y,Vitis_cinerea,3,0.26997772,-0.15479647,-0.5146042,-0.44695055,1.5554459,2.3413806,0.8903889,0.12151884,-0.21304144,0.27957103,0.34133258,0.14861381,2.4789457,0.10498818,-0.1474899,-0.28403535,0.19161113,3.7958388,0.26480725
588221_y,Vitis_cinerea,3,-0.5503523,-0.45789102,-0.41193745,-0.30924878,0.2780286,3.1481977,-0.835995,0.8724299,0.08234955,0.6027536,0.7457675,0.06649147,1.5269555,0.29105246,-0.2606592,-0.7088712,0.58679837,4.905814,0.63269347
588398_y,Vitis_cinerea,3,-0.26293725,-0.73840284,-0.31801656,-0.6761035,0.09787628,-0.19415414,0.8624867,-0.65004116,0.37114748,-0.49268785,-0.39071313,0.38647643,1.7963121,-0.2133277,-0.5156424,-0.33023703,-0.5450465,0.0608876,0.24737594
588218_y,Vitis_cinerea,3,1.2666628,0.6831404,-0.57764304,-0.67169005,1.1309844,0.67262965,1.6493652,-0.57060593,-0.098439276,-0.2578366,0.10192212,1.8780557,2.574273,0.2586769,-0.012840114,0.80575347,-0.60987955,2.509027,0.3718209
588154_y,Vitis_cinerea,3,-0.33582076,-0.68279856,0.07827612,-0.85929096,0.66763836,0.85273874,0.045181032,0.17515634,-0.013821077,-0.13481201,-0.39253965,0.18598491,1.2352757,-0.75661176,0.24089946,-0.40001974,0.2643824,1.2413843,0.07478228
588356_y,Vitis_cinerea,3,2.1950924,0.68484914,-0.38493505,0.10945044,1.45159,1.0122893,0.9352092,-0.42748094,0.21385977,0.96931654,1.4623355,0.99434894,2.2043295,0.36632216,-0.101912454,0.061268542,-0.60124457,-0.15098417,0.31207606
588208_y,Vitis_cinerea,3,0.39860538,0.5401946,0.8718527,-0.52534795,2.6230793,2.2078335,2.561213,0.40383542,1.7304056,0.10985417,0.7350686,2.3664844,6.030808,1.2632316,0.92676497,0.92563176,0.28433338,1.6961005,0.21747455
588197_y,Vitis_cinerea,3,-0.26860896,-0.22379279,-0.25131127,-0.5224936,0.4822604,0.2633986,1.2372627,-0.597831,0.30838418,-0.19481793,0.17779002,1.098041,0.42797473,-0.352195,-0.51963645,-5.36E-05,-0.6608053,1.757095,-0.0614701
588217_y,Vitis_cinerea,3,-0.58172435,-0.83989364,0.56969476,-0.8314754,-0.6233295,-0.16840066,-0.88969094,0.59808314,-0.44325095,-0.5862108,-0.71880823,-0.43296286,-0.051826563,-1.1432375,-0.4613313,-0.54915094,0.5972879,0.9677252,-0.38608998
588134_y,Vitis_cinerea,3,-0.49443707,-0.5174752,-0.07543556,-0.47997442,1.0238651,1.2642018,2.2905142,0.3378159,0.059181876,-0.33703443,-0.032264,0.66854453,3.4702184,0.48826167,0.2852907,-0.3922134,0.3041825,1.8996956,0.17430662
