INVO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588483,Vitis_riparia,6,0.946715653,-0.73681581,-1.388753176,0.35833028,-0.842916012,-0.424791098,0.57137233,-0.68606925,-0.318178952,0.724686027,0.097011253,-0.297282279,-0.717703879,-0.188876569,0.038023319,-0.073552862,-0.742747664,-0.208555892,-0.324232072
483181,Vitis_riparia,6,0.756478488,-0.688263237,0.429575354,-0.09477102,0.823377907,-0.030307289,-0.920294881,1.077967286,-0.885544181,0.383516937,1.038732886,-0.222629681,-0.263366461,-0.041225899,-0.38236779,-0.450039297,0.530014455,0.245089397,-0.001175073
588404,Vitis_riparia,6,1.107287526,1.343027949,-0.733336926,0.272006869,0.504734695,-0.078377388,0.174023226,-0.011593359,-0.012707395,-0.172320068,-0.05777923,-0.320838422,-0.642657459,-0.204976737,-0.713384986,0.159614384,0.066487424,-0.230697021,-0.198689967
588400,Vitis_riparia,6,0.55786556,1.9615376,-1.270025849,-0.414716095,2.000997066,-0.093482375,-0.776938558,1.329603195,-0.647919774,-0.136894956,-0.523271143,-0.372341156,-0.494001806,-0.978377283,-0.470715851,-0.17096132,1.464707971,0.37892741,-0.226298913
588261,Vitis_riparia,6,0.535519898,1.410511374,1.096365452,-0.785564065,-0.703318357,1.131517172,1.791041493,1.064373016,0.371178269,3.906458855,0.971947372,-0.209255666,-0.677149534,1.651280046,-0.323221356,0.068289965,0.465812474,0.036442593,-0.162162855
588260,Vitis_riparia,6,0.652459264,-0.186130896,-0.588527143,-0.221781984,1.211874366,0.985915363,-0.098970696,0.748375952,0.05073528,-0.229705721,-0.417049527,-0.349030435,-0.619476318,0.498832136,-0.279097915,-0.296299279,0.048355091,-0.181306377,-0.303205669
588436,Vitis_riparia,6,0.19537057,-0.097508259,1.024240375,-0.605570555,-0.33176288,2.288217783,0.157011718,0.501048386,-0.901584506,0.046290472,0.015459635,-0.343239516,-0.261922032,2.929075003,-0.610210717,0.440382481,1.105943799,0.55629921,-0.020707423
588272,Vitis_riparia,6,0.154587403,-0.350519925,-0.316433638,0.005621886,1.548662186,-0.448607266,-1.048995495,0.071590073,1.934625983,0.027701791,0.00539743,-0.300982356,-0.593865097,0.474800885,-0.336152166,-0.834450245,0.031199403,-0.16270107,-0.167764589
588346,Vitis_riparia,6,0.235193208,0.601737499,-1.480990291,-0.123743065,-0.200034618,1.043354988,0.045898955,-1.458213925,0.159669414,-0.171315938,-0.343109816,-0.339232296,-0.504123449,-0.400339097,0.21069403,-0.654442608,-1.416930556,0.016023319,-0.340501606
279897,Vitis_riparia,6,1.680446982,-0.458310336,-0.448028326,-1.267142057,2.098415613,-0.504726171,1.107874513,0.610249937,-1.420196414,-0.741188765,-0.732788384,-0.402080804,-0.769306123,-1.379479408,-0.741142809,0.350547433,0.572059453,-0.265051842,-0.330407262
588270,Vitis_riparia,6,0.119446389,1.023272395,-0.60910362,0.49504292,0.029569289,-0.773971438,0.000413918,-1.375682831,0.098693967,0.22546871,0.048221089,-0.31822595,-0.647458196,0.068407819,0.422103643,-0.424341559,-1.46270597,-0.012273127,-0.162431285
588262,Vitis_riparia,6,3.817643404,2.509371996,-1.202127337,0.265140504,0.133367226,0.940686405,-0.591980457,-0.306571692,-0.04703635,4.631044388,2.731587648,-0.135385424,-0.586537004,2.601604223,1.685176015,0.004702716,-0.975087821,-0.212144539,-0.237854913
588344,Vitis_riparia,6,0.35001123,2.157515287,-0.215630323,-0.276627839,0.908402801,1.02906096,-0.065407619,0.572333992,2.634570837,0.975273311,1.944628,-0.178033382,-0.549452424,0.820373416,-0.24623616,-0.048926,0.064577848,-0.11022383,-0.18907328
588304,Vitis_riparia,6,1.319541216,0.20233722,-0.551774383,-1.078793406,0.528522789,0.26520735,1.051002502,1.93396163,-0.606899738,0.703487754,-0.089836255,-0.343944401,-0.621127248,-0.546621263,-1.040478468,0.1523581,3.123764515,0.068097785,-0.243804559
